director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Woody Allen,Scarlett Johansson,Kevin McNally,Geoff Bell,Comedy Crime Mystery,scoop,Comedy Crime Mystery Scarlett JohanssonKevin McNally Geoff Bell scoop Woody Allen
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Action Adventure Sci-Fi Thriller,planet of the apes,Action Adventure Sci-Fi Thriller Cary-Hiroyuki TagawaEstella Warren Erick Avari planet of the apes Tim Burton
DJ Pooh,Angell Conwell,Dr. Dre,DJ Pooh,Comedy,the wash,Comedy Angell ConwellDr. Dre DJ Pooh the wash DJ Pooh
DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,Comedy,3 strikes,Comedy Mo'NiqueMike Epps Faizon Love 3 strikes DJ Pooh
Wayne Kramer,Estella Warren,Paul Sorvino,Shawn Hatosy,Crime Drama Fantasy Romance,the cooler,Crime Drama Fantasy Romance Estella WarrenPaul Sorvino Shawn Hatosy the cooler Wayne Kramer
John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,Drama Romance Western,the misfits,Drama Romance Western Montgomery CliftKevin McCarthy Thelma Ritter the misfits John Huston
Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,Crime Mystery Thriller,the night listener,Crime Mystery Thriller Robin WilliamsJoe Morton Rory Culkin the night listener Patrick Stettner
James Melkonian,Vincent Pastore,William Hickey,Peter Appel,Comedy Crime,the jerky boys,Comedy Crime Vincent PastoreWilliam Hickey Peter Appel the jerky boys James Melkonian
Wes Craven,Frank Grillo,Emily Meade,Zena Grey,Horror Mystery Thriller,my soul to take,Horror Mystery Thriller Frank GrilloEmily Meade Zena Grey my soul to take Wes Craven
J.A. Bayona,Geraldine Chaplin,Belén Rueda,Fernando Cayo,Drama Mystery Thriller,the orphanage,Drama Mystery Thriller Geraldine ChaplinBelén Rueda Fernando Cayo the orphanage J.A. Bayona
Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,Comedy Fantasy,a haunted house 2,Comedy Fantasy Ashley RickardsEssence Atkins Gabriel Iglesias a haunted house 2 Michael Tiddes
Roger Avary,Ian Somerhalder,Faye Dunaway,Clifton Collins Jr.,Comedy Drama Romance,the rules of attraction,Comedy Drama Romance Ian SomerhalderFaye Dunaway Clifton Collins Jr. the rules of attraction Roger Avary
Alfred Hitchcock,Roscoe Lee Browne,John Vernon,Philippe Noiret,Drama Thriller,topaz,Drama Thriller Roscoe Lee BrowneJohn Vernon Philippe Noiret topaz Alfred Hitchcock
Bob Odenkirk,Dylan Baker,Chi McBride,Amy Hill,Comedy Crime,let's go to prison,Comedy Crime Dylan BakerChi McBride Amy Hill let's go to prison Bob Odenkirk
Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,Comedy Fantasy,four rooms,Comedy Fantasy Salma HayekAlicia Witt Lili Taylor four rooms Allison Anders
Steven Shainberg,Jeremy Davies,Stephen McHattie,Lesley Ann Warren,Comedy Drama Romance,secretary,Comedy Drama Romance Jeremy DaviesStephen McHattie Lesley Ann Warren secretary Steven Shainberg
Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,Documentary,the real cancun,Documentary Laura RamseyAlan Taylor Benjamin Fletcher the real cancun Rick de Oliveira
Oliver Stone,Michael Wincott,Zach Grenier,Bill Johnson,Drama,talk radio,Drama Michael WincottZach Grenier Bill Johnson talk radio Oliver Stone
Christopher Guest,Catherine O'Hara,Fred Willard,Larry Miller,Comedy,waiting for guffman,Comedy Catherine O'HaraFred Willard Larry Miller waiting for guffman Christopher Guest
Jeff Franklin,Ivana Milicevic,Tyra Banks,Bridgette Wilson-Sampras,Comedy,love stinks,Comedy Ivana MilicevicTyra Banks Bridgette Wilson-Sampras love stinks Jeff Franklin
John Dahl,Philip Baker Hall,Aaron Hughes,Jayne Eastwood,Comedy Crime Romance Thriller,you kill me,Comedy Crime Romance Thriller Philip Baker HallAaron Hughes Jayne Eastwood you kill me John Dahl
Mike Mills,Kelli Garner,Lou Taylor Pucci,Nancy O'Dell,Comedy Drama,thumbsucker,Comedy Drama Kelli GarnerLou Taylor Pucci Nancy O'Dell thumbsucker Mike Mills
Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,Action Crime Horror Thriller,red state,Action Crime Horror Thriller Anna GunnMichael Angarano Stephen Root red state Kevin Smith
Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,Adventure Fantasy,mirrormask,Adventure Fantasy Stephanie LeonidasGina McKee Rob Brydon mirrormask Dave McKean
Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,Documentary Music,samsara,Documentary Music Collin Alfredo St. DicBalinese Tari Legong Dancers Puti Sri Candra Dewi samsara Ron Fricke
Ruggero Deodato,Michael Berryman,Eva LaRue,Richard Lynch,Adventure Fantasy,the barbarians,Adventure Fantasy Michael BerrymanEva LaRue Richard Lynch the barbarians Ruggero Deodato
Gavin Wiesen,Michael Angarano,Blair Underwood,Rita Wilson,Drama Romance,the art of getting by,Drama Romance Michael AngaranoBlair Underwood Rita Wilson the art of getting by Gavin Wiesen
Mora Stephens,Ray Winstone,Alexandra Breckenridge,Elena Satine,Drama Thriller,zipper,Drama Thriller Ray WinstoneAlexandra Breckenridge Elena Satine zipper Mora Stephens
Mars Callahan,Chazz Palminteri,Ricky Schroder,Ernie Reyes Jr.,Drama Thriller,poolhall junkies,Drama Thriller Chazz PalminteriRicky Schroder Ernie Reyes Jr. poolhall junkies Mars Callahan
Mike Figgis,Kelly Macdonald,Saffron Burrows,Julian Sands,Drama,the loss of sexual innocence,Drama Kelly MacdonaldSaffron Burrows Julian Sands the loss of sexual innocence Mike Figgis
Leos Carax,Kylie Minogue,Leos Carax,Denis Lavant,Drama Fantasy,holy motors,Drama Fantasy Kylie MinogueLeos Carax Denis Lavant holy motors Leos Carax
David Gordon Green,Nicolas Cage,Tye Sheridan,Ronnie Gene Blevins,Drama,joe,Drama Nicolas CageTye Sheridan Ronnie Gene Blevins joe David Gordon Green
Stefan Schwartz,Peter McNamara,Dan Futterman,Ralph Ineson,Comedy Crime Romance,shooting fish,Comedy Crime Romance Peter McNamaraDan Futterman Ralph Ineson shooting fish Stefan Schwartz
Renny Harlin,Viggo Mortensen,Lane Smith,Hal Landon Jr.,Crime Drama Horror Thriller,prison,Crime Drama Horror Thriller Viggo MortensenLane Smith Hal Landon Jr. prison Renny Harlin
Robert Lee King,Lauren Ambrose,Kathleen Robertson,Beth Broderick,Comedy Horror Mystery,psycho beach party,Comedy Horror Mystery Lauren AmbroseKathleen Robertson Beth Broderick psycho beach party Robert Lee King
Kevin Allen,Craig Ferguson,Frances Fisher,Mary McCormack,Comedy,the big tease,Comedy Craig FergusonFrances Fisher Mary McCormack the big tease Kevin Allen
Jorge Ramírez Suárez,Hector Kotsifakis,Adriana Barraza,Arcelia Ramírez,Drama,"buen día, ramón","Drama Hector KotsifakisAdriana Barraza Arcelia Ramírez buen día, ramón Jorge Ramírez Suárez"
David Schwimmer,Noah Emmerich,Jordan Trovillion,Zoe Levin,Crime Drama Thriller,trust,Crime Drama Thriller Noah EmmerichJordan Trovillion Zoe Levin trust David Schwimmer
Barry Levinson,Anna Friel,Brían F. O'Byrne,Pauline McLynn,Comedy,an everlasting piece,Comedy Anna FrielBrían F. O'Byrne Pauline McLynn an everlasting piece Barry Levinson
Sam Miller,Rachel Griffiths,Alan Williams,Rob Jarvis,Comedy Romance,among giants,Comedy Romance Rachel GriffithsAlan Williams Rob Jarvis among giants Sam Miller
Anne Fontaine,Robin Wright,Naomi Watts,Ben Mendelsohn,Drama Romance,adore,Drama Romance Robin WrightNaomi Watts Ben Mendelsohn adore Anne Fontaine
Dan Ireland,Salma Hayek,Danny Arroyo,Olivia d'Abo,Comedy Drama Romance,the velocity of gary,Comedy Drama Romance Salma HayekDanny Arroyo Olivia d'Abo the velocity of gary Dan Ireland
Fernando León de Aranoa,Luis Tosar,Enrique Villén,Aida Folch,Comedy Drama,mondays in the sun,Comedy Drama Luis TosarEnrique Villén Aida Folch mondays in the sun Fernando León de Aranoa
Jim Mickle,Connor Paolo,Michael Cerveris,Nick Damici,Drama Horror Sci-Fi,stake land,Drama Horror Sci-Fi Connor PaoloMichael Cerveris Nick Damici stake land Jim Mickle
unknown,Doug Brochu,Tiffany Thornton,Brandon Mychal Smith,Comedy Family Romance,sonny with a chance            ,Comedy Family Romance Doug BrochuTiffany Thornton Brandon Mychal Smith sonny with a chance             unknown
Stephen Kay,Keanu Reeves,Marg Helgenberger,Gretchen Mol,Biography Drama,the last time i committed suicide,Biography Drama Keanu ReevesMarg Helgenberger Gretchen Mol the last time i committed suicide Stephen Kay
Karim Aïnouz,Wagner Moura,Clemens Schick,Jesuíta Barbosa,Drama,futuro beach,Drama Wagner MouraClemens Schick Jesuíta Barbosa futuro beach Karim Aïnouz
Sam Levinson,George Kennedy,Ezra Miller,Demi Moore,Comedy Drama,another happy day,Comedy Drama George KennedyEzra Miller Demi Moore another happy day Sam Levinson
Julian Gilbey,Ed Speleers,Eamonn Walker,Sean Harris,Action Adventure Crime Thriller,a lonely place to die,Action Adventure Crime Thriller Ed SpeleersEamonn Walker Sean Harris a lonely place to die Julian Gilbey
Vincenzo Natali,David Hewlett,Angelo Tsarouchas,Marie-Josée Croze,Comedy Fantasy,nothing,Comedy Fantasy David HewlettAngelo Tsarouchas Marie-Josée Croze nothing Vincenzo Natali
Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,Eugenia Khirivskaya,Adventure Drama,the geographer drank his globe away,Adventure Drama Konstantin KhabenskiyElena Lyadova Eugenia Khirivskaya the geographer drank his globe away Aleksandr Veledinskiy
Peter H. Hunt,Blythe Danner,Ken Howard,Howard Caine,Drama Family History Musical,1776,Drama Family History Musical Blythe DannerKen Howard Howard Caine 1776 Peter H. Hunt
Ruba Nadda,Saad Siddiqui,Bonnie Lee Bouman,Fadia Nadda,Drama Mystery Romance Thriller,inescapable,Drama Mystery Romance Thriller Saad SiddiquiBonnie Lee Bouman Fadia Nadda inescapable Ruba Nadda
Howard Hughes,Jean Harlow,Marian Marsh,James Hall,Drama War,hell's angels,Drama War Jean HarlowMarian Marsh James Hall hell's angels Howard Hughes
Edward Burns,Debra Messing,Rosemarie DeWitt,Peter Jacobson,Comedy Drama Romance,purple violets,Comedy Drama Romance Debra MessingRosemarie DeWitt Peter Jacobson purple violets Edward Burns
Phil Joanou,Lily Rabe,Shannon Woodward,Kira McLean,Horror,the veil,Horror Lily RabeShannon Woodward Kira McLean the veil Phil Joanou
Sean Byrne,Robin McLeavy,Jessica McNamee,Victoria Thaine,Horror Thriller,the loved ones,Horror Thriller Robin McLeavyJessica McNamee Victoria Thaine the loved ones Sean Byrne
Chris Stokes,Kristen Quintrall,Rachel Sterling,Black Thomas,Horror,no vacancy,Horror Kristen QuintrallRachel Sterling Black Thomas no vacancy Chris Stokes
Mark Griffiths,Eric Mabius,Gina Holden,Brooke D'Orsay,Comedy Romance,how to fall in love,Comedy Romance Eric MabiusGina Holden Brooke D'Orsay how to fall in love Mark Griffiths
Bruce Macdonald,Rachel Hendrix,Cheryl Ladd,Diana Vickers,Adventure Biography Drama Romance,the perfect wave,Adventure Biography Drama Romance Rachel HendrixCheryl Ladd Diana Vickers the perfect wave Bruce Macdonald
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History,ben-hur,Adventure Drama History Morgan FreemanAyelet Zurer Moises Arias ben-hur Timur Bekmambetov
Fred Zinnemann,Robert Shaw,Susannah York,Paul Scofield,Biography Drama History,a man for all seasons,Biography Drama History Robert ShawSusannah York Paul Scofield a man for all seasons Fred Zinnemann
Sidney Lumet,Robert Duvall,Faye Dunaway,William Holden,Drama Romance,network,Drama Romance Robert DuvallFaye Dunaway William Holden network Sidney Lumet
Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,Drama History Romance War,gone with the wind,Drama History Romance War Hattie McDanielGeorge Reeves Thomas Mitchell gone with the wind Victor Fleming
Richard Raymond,Tom Cullen,Reece Ritchie,Marama Corlett,Biography Drama,desert dancer,Biography Drama Tom CullenReece Ritchie Marama Corlett desert dancer Richard Raymond
Sam Peckinpah,James Coburn,Slim Pickens,Warren Oates,Adventure War Western,major dundee,Adventure War Western James CoburnSlim Pickens Warren Oates major dundee Sam Peckinpah
Alan Jacobs,Snoop Dogg,Laz Alonso,Nicholas Gonzalez,Drama,down for life,Drama Snoop DoggLaz Alonso Nicholas Gonzalez down for life Alan Jacobs
George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,Biography Comedy Musical Romance Western,annie get your gun,Biography Comedy Musical Romance Western Keenan WynnHoward Keel Betty Hutton annie get your gun George Sidney
Christopher Morris,Kayvan Novak,Riz Ahmed,Alex Macqueen,Comedy Crime Drama,four lions,Comedy Crime Drama Kayvan NovakRiz Ahmed Alex Macqueen four lions Christopher Morris
Andrucha Waddington,Fernanda Montenegro,Seu Jorge,Fernanda Torres,Drama,house of sand,Drama Fernanda MontenegroSeu Jorge Fernanda Torres house of sand Andrucha Waddington
Peter Stebbings,Michael Kelly,Tony Nappo,Charlotte Sullivan,Comedy Crime Drama,defendor,Comedy Crime Drama Michael KellyTony Nappo Charlotte Sullivan defendor Peter Stebbings
Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,Adventure Comedy Musical Romance,the pirate,Adventure Comedy Musical Romance Gladys CooperReginald Owen Ellen Ross the pirate Vincente Minnelli
Dagur Kári,Alice Olivia Clarke,Susan Blommaert,Stephen Henderson,Drama,the good heart,Drama Alice Olivia ClarkeSusan Blommaert Stephen Henderson the good heart Dagur Kári
Nicholas Hytner,Dominic Cooper,Russell Tovey,James Corden,Comedy Drama,the history boys,Comedy Drama Dominic CooperRussell Tovey James Corden the history boys Nicholas Hytner
Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn,Action Mystery Thriller,unknown,Action Mystery Thriller Liam NeesonFrank Langella Aidan Quinn unknown Jaume Collet-Serra
unknown,David Ogden Stiers,Jamie Farr,Mike Farrell,Comedy Drama War,m*a*s*h            ,Comedy Drama War David Ogden StiersJamie Farr Mike Farrell m*a*s*h             unknown
John Schlesinger,Brenda Vaccaro,Barnard Hughes,John McGiver,Drama,midnight cowboy,Drama Brenda VaccaroBarnard Hughes John McGiver midnight cowboy John Schlesinger
Jim Abrahams,Peter Graves,Lloyd Bridges,Barbara Billingsley,Comedy,airplane!,Comedy Peter GravesLloyd Bridges Barbara Billingsley airplane! Jim Abrahams
Kevin Carraway,Michael Jai White,Max Ryan,Jon Osbeck,Action Thriller,chain of command,Action Thriller Michael Jai WhiteMax Ryan Jon Osbeck chain of command Kevin Carraway
F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,Comedy Drama,friday,Comedy Drama Nia LongJohn Witherspoon Tony Cox friday F. Gary Gray
Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,Crime Drama Thriller,menace ii society,Crime Drama Thriller Jada Pinkett SmithLarenz Tate Khandi Alexander menace ii society Albert Hughes
unknown,Ta'Rhonda Jones,Gabourey Sidibe,Malik Yoba,Drama Music,empire            ,Drama Music Ta'Rhonda JonesGabourey Sidibe Malik Yoba empire             unknown
Michael Gornick,George Kennedy,Holt McCallany,Dorothy Lamour,Comedy Fantasy Horror Thriller,creepshow 2,Comedy Fantasy Horror Thriller George KennedyHolt McCallany Dorothy Lamour creepshow 2 Michael Gornick
Sam Peckinpah,Slim Pickens,Jason Robards,L.Q. Jones,Comedy Drama Romance Western,the ballad of cable hogue,Comedy Drama Romance Western Slim PickensJason Robards L.Q. Jones the ballad of cable hogue Sam Peckinpah
Richard Brooks,John Forsythe,Robert Blake,Will Geer,Biography Crime Drama History,in cold blood,Biography Crime Drama History John ForsytheRobert Blake Will Geer in cold blood Richard Brooks
Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,Drama,the nun's story,Drama Colleen DewhurstPeter Finch Beatrice Straight the nun's story Fred Zinnemann
Jack Smight,Janet Leigh,Robert Wagner,Shelley Winters,Action Crime Drama Mystery Thriller,harper,Action Crime Drama Mystery Thriller Janet LeighRobert Wagner Shelley Winters harper Jack Smight
Alfred Hitchcock,Bernard Cribbins,Jean Marsh,Clive Swift,Thriller,frenzy,Thriller Bernard CribbinsJean Marsh Clive Swift frenzy Alfred Hitchcock
Robert Eggers,Julian Richings,Kate Dickie,Ralph Ineson,Horror Mystery,the witch,Horror Mystery Julian RichingsKate Dickie Ralph Ineson the witch Robert Eggers
Michael Martin,Joe Estevez,Master P,Anthony Johnson,Comedy,i got the hook up,Comedy Joe EstevezMaster P Anthony Johnson i got the hook up Michael Martin
Edward Burns,John Mahoney,Frank Vincent,Michael McGlone,Comedy Drama Romance,she's the one,Comedy Drama Romance John MahoneyFrank Vincent Michael McGlone she's the one Edward Burns
Bill Condon,Brendan Fraser,Lynn Redgrave,Kevin J. O'Connor,Biography Drama,gods and monsters,Biography Drama Brendan FraserLynn Redgrave Kevin J. O'Connor gods and monsters Bill Condon
Juan José Campanella,Ricardo Darín,Soledad Villamil,Guillermo Francella,Drama Mystery Thriller,the secret in their eyes,Drama Mystery Thriller Ricardo DarínSoledad Villamil Guillermo Francella the secret in their eyes Juan José Campanella
George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato,Horror,day of the dead,Horror Greg NicoteroJohn Amplas Joseph Pilato day of the dead George A. Romero
Gideon Raff,Gideon Emery,Gloria Votsis,Derek Magyar,Horror Thriller,train,Horror Thriller Gideon EmeryGloria Votsis Derek Magyar train Gideon Raff
Sam Raimi,Ted Raimi,Dan Hicks,Kassie Wesley DePaiva,Comedy Fantasy Horror Thriller,evil dead ii,Comedy Fantasy Horror Thriller Ted RaimiDan Hicks Kassie Wesley DePaiva evil dead ii Sam Raimi
Louis C.K.,Wanda Sykes,J.B. Smoove,Robert Vaughn,Action Adventure Comedy Musical,pootie tang,Action Adventure Comedy Musical Wanda SykesJ.B. Smoove Robert Vaughn pootie tang Louis C.K.
Anthony C. Ferrante,Ian Ziering,John Heard,Cassandra Scerbo,Horror,sharknado,Horror Ian ZieringJohn Heard Cassandra Scerbo sharknado Anthony C. Ferrante
Salvador Carrasco,Elpidia Carrillo,Zaide Silvia Gutiérrez,Damián Delgado,Drama History,la otra conquista,Drama History Elpidia CarrilloZaide Silvia Gutiérrez Damián Delgado la otra conquista Salvador Carrasco
André Øvredal,Otto Jespersen,Johanna Mørck,Glenn Erland Tosterud,Comedy Drama Fantasy Horror,trollhunter,Comedy Drama Fantasy Horror Otto JespersenJohanna Mørck Glenn Erland Tosterud trollhunter André Øvredal
Robert Cary,Frances Conroy,Fred Willard,Kevin Sussman,Comedy Romance,ira & abby,Comedy Romance Frances ConroyFred Willard Kevin Sussman ira & abby Robert Cary
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,Action Comedy Sci-Fi,the watch,Action Comedy Sci-Fi Will ForteNicholas Braun Rosemarie DeWitt the watch Akiva Schaffer
Adam Rapp,Zooey Deschanel,Will Ferrell,Dallas Roberts,Comedy Drama,winter passing,Comedy Drama Zooey DeschanelWill Ferrell Dallas Roberts winter passing Adam Rapp
Angela Robinson,Jordana Brewster,Geoff Stults,Scoot McNairy,Action Comedy Romance,d.e.b.s.,Action Comedy Romance Jordana BrewsterGeoff Stults Scoot McNairy d.e.b.s. Angela Robinson
Warren P. Sonoda,Diahann Carroll,Mykel Shannon Jenkins,Lara Jean Chorostecki,Action Biography Crime Drama Family Fantasy,the masked saint,Action Biography Crime Drama Family Fantasy Diahann CarrollMykel Shannon Jenkins Lara Jean Chorostecki the masked saint Warren P. Sonoda
Amanda Gusack,Alice Krige,Christian Campbell,Blaine Anderson,Crime Drama Mystery Thriller,the betrayed,Crime Drama Mystery Thriller Alice KrigeChristian Campbell Blaine Anderson the betrayed Amanda Gusack
Avi Nesher,Fisher Stevens,Elizabeth Berkley,Robert Townsend,Action Comedy Crime Thriller,taxman,Action Comedy Crime Thriller Fisher StevensElizabeth Berkley Robert Townsend taxman Avi Nesher
unknown,James Nesbitt,Ash Cook,Genevieve O'Reilly,Drama Thriller,the secret            ,Drama Thriller James NesbittAsh Cook Genevieve O'Reilly the secret             unknown
Charles Adelman,Teri Polo,Kevin Pollak,Jere Burns,Horror Thriller,2:13,Horror Thriller Teri PoloKevin Pollak Jere Burns 2:13 Charles Adelman
Jay Oliva,Michael Emerson,Mark Valley,Grey Griffin,Action Animation Crime Sci-Fi Thriller,"batman: the dark knight returns, part 2","Action Animation Crime Sci-Fi Thriller Michael EmersonMark Valley Grey Griffin batman: the dark knight returns, part 2 Jay Oliva"
Charles Ferguson,Jane Goodall,Jerry Brown,Peter Agnefjall,Documentary,time to choose,Documentary Jane GoodallJerry Brown Peter Agnefjall time to choose Charles Ferguson
Uwe Boll,Bashar Rahal,Shelly Varod,Ralitsa Paskaleva,Action Adventure Fantasy Thriller,in the name of the king: the last job,Action Adventure Fantasy Thriller Bashar RahalShelly Varod Ralitsa Paskaleva in the name of the king: the last job Uwe Boll
Mark Young,Alexa PenaVega,Jake Busey,Lew Temple,Action Crime Drama Thriller,wicked blood,Action Crime Drama Thriller Alexa PenaVegaJake Busey Lew Temple wicked blood Mark Young
Daniel Petrie Jr.,Chris Brochu,Jeff Fahey,Rita Wilson,Drama Thriller,dawn patrol,Drama Thriller Chris BrochuJeff Fahey Rita Wilson dawn patrol Daniel Petrie Jr.
Antonio Simoncini,Ray Winstone,Joe Egan,Glen Murphy,Crime Mystery Thriller,lords of london,Crime Mystery Thriller Ray WinstoneJoe Egan Glen Murphy lords of london Antonio Simoncini
Mel Brooks,Madeline Kahn,Harvey Korman,Dick Van Patten,Comedy,high anxiety,Comedy Madeline KahnHarvey Korman Dick Van Patten high anxiety Mel Brooks
Luc Jacquet,Morgan Freeman,Sofie Gråbøl,Romane Bohringer,Documentary,march of the penguins,Documentary Morgan FreemanSofie Gråbøl Romane Bohringer march of the penguins Luc Jacquet
J.C. Chandor,Kevin Spacey,Demi Moore,Ashley Williams,Biography Drama Thriller,margin call,Biography Drama Thriller Kevin SpaceyDemi Moore Ashley Williams margin call J.C. Chandor
Eldar Rapaport,Murray Bartlett,Adrian Gonzalez,Edward Conna,Drama Romance,august,Drama Romance Murray BartlettAdrian Gonzalez Edward Conna august Eldar Rapaport
Clark Gregg,Anjelica Huston,Matt Gerald,Jonah Bobo,Comedy Drama,choke,Comedy Drama Anjelica HustonMatt Gerald Jonah Bobo choke Clark Gregg
Damien Chazelle,J.K. Simmons,Melissa Benoist,Chris Mulkey,Drama Music,whiplash,Drama Music J.K. SimmonsMelissa Benoist Chris Mulkey whiplash Damien Chazelle
Fernando Meirelles,Alice Braga,Seu Jorge,Alexandre Rodrigues,Crime Drama,city of god,Crime Drama Alice BragaSeu Jorge Alexandre Rodrigues city of god Fernando Meirelles
Justin Kerrigan,Danny Dyer,John Simm,Shaun Parkes,Comedy Music,human traffic,Comedy Music Danny DyerJohn Simm Shaun Parkes human traffic Justin Kerrigan
Nathan Frankowski,Corbin Bleu,Rus Blackwell,Luis Antonio,Biography Drama Music,day one,Biography Drama Music Corbin BleuRus Blackwell Luis Antonio day one Nathan Frankowski
Karen Moncrieff,James Franco,Bruce Davison,Piper Laurie,Crime Drama Mystery,the dead girl,Crime Drama Mystery James FrancoBruce Davison Piper Laurie the dead girl Karen Moncrieff
Thomas Vinterberg,Thomas Bo Larsen,Alexandra Rapaport,Hana Shuan,Drama,the hunt,Drama Thomas Bo LarsenAlexandra Rapaport Hana Shuan the hunt Thomas Vinterberg
Bob Clark,Zack Ward,Darren McGavin,Scott Schwartz,Comedy Family,a christmas story,Comedy Family Zack WardDarren McGavin Scott Schwartz a christmas story Bob Clark
Alejandro Monteverde,Armando Riesco,Ramon Rodriguez,Eduardo Verástegui,Drama Romance,bella,Drama Romance Armando RiescoRamon Rodriguez Eduardo Verástegui bella Alejandro Monteverde
Mark L. Lester,Roddy McDowall,Perry King,Timothy Van Patten,Action Crime Drama Thriller,class of 1984,Action Crime Drama Thriller Roddy McDowallPerry King Timothy Van Patten class of 1984 Mark L. Lester
Jennifer Finnigan,Geoff Stults,Kenan Thompson,Josh Hopkins,Comedy,the opposite sex,Comedy Geoff StultsKenan Thompson Josh Hopkins the opposite sex Jennifer Finnigan
Eric Styles,Samantha Morton,Rupert Graves,Miriam Margolyes,Drama Romance,dreaming of joseph lees,Drama Romance Samantha MortonRupert Graves Miriam Margolyes dreaming of joseph lees Eric Styles
Laurent Cantet,François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,Drama,the class,Drama François BégaudeauAgame Malembo-Emene Angélica Sancio the class Laurent Cantet
Roman Polanski,John Cassavetes,Mia Farrow,Charles Grodin,Drama Horror,rosemary's baby,Drama Horror John CassavetesMia Farrow Charles Grodin rosemary's baby Roman Polanski
John Ford,Lee Marvin,Woody Strode,Vera Miles,Drama Western,the man who shot liberty valance,Drama Western Lee MarvinWoody Strode Vera Miles the man who shot liberty valance John Ford
Max Mayer,Peter Gallagher,Terry Walters,Amy Irving,Drama Romance,adam,Drama Romance Peter GallagherTerry Walters Amy Irving adam Max Mayer
Joshua Marston,Catalina Sandino Moreno,Wilson Guerrero,Yenny Paola Vega,Crime Drama,maria full of grace,Crime Drama Catalina Sandino MorenoWilson Guerrero Yenny Paola Vega maria full of grace Joshua Marston
Mike Mills,Goran Visnjic,Lou Taylor Pucci,Mary Page Keller,Comedy Drama Romance,beginners,Comedy Drama Romance Goran VisnjicLou Taylor Pucci Mary Page Keller beginners Mike Mills
John Gulager,Krista Allen,Eric Dane,Henry Rollins,Action Comedy Horror Thriller,feast,Action Comedy Horror Thriller Krista AllenEric Dane Henry Rollins feast John Gulager
John Landis,John Belushi,Karen Allen,Tim Matheson,Comedy,animal house,Comedy John BelushiKaren Allen Tim Matheson animal house John Landis
Guy Hamilton,Honor Blackman,Gert Fröbe,Lois Maxwell,Action Adventure Thriller,goldfinger,Action Adventure Thriller Honor BlackmanGert Fröbe Lois Maxwell goldfinger Guy Hamilton
Brandon Cronenberg,Sarah Gadon,Douglas Smith,Caleb Landry Jones,Horror Sci-Fi Thriller,antiviral,Horror Sci-Fi Thriller Sarah GadonDouglas Smith Caleb Landry Jones antiviral Brandon Cronenberg
Frank Capra,Donna Reed,Lionel Barrymore,Thomas Mitchell,Drama Family Fantasy Romance,it's a wonderful life,Drama Family Fantasy Romance Donna ReedLionel Barrymore Thomas Mitchell it's a wonderful life Frank Capra
Danny Boyle,Kelly Macdonald,Shirley Henderson,Ewen Bremner,Drama,trainspotting,Drama Kelly MacdonaldShirley Henderson Ewen Bremner trainspotting Danny Boyle
Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,Comedy Documentary,the original kings of comedy,Comedy Documentary Bernie MacCedric the Entertainer Steve Harvey the original kings of comedy Spike Lee
Tod Williams,Sprague Grayden,Molly Ephraim,Micah Sloat,Horror,paranormal activity 2,Horror Sprague GraydenMolly Ephraim Micah Sloat paranormal activity 2 Tod Williams
Kirk Jones,James Nesbitt,David Kelly,Fionnula Flanagan,Comedy,waking ned devine,Comedy James NesbittDavid Kelly Fionnula Flanagan waking ned devine Kirk Jones
Michael Moore,Michael Moore,Dick Clark,Bill Clinton,Crime Documentary Drama,bowling for columbine,Crime Documentary Drama Michael MooreDick Clark Bill Clinton bowling for columbine Michael Moore
Yimou Zhang,Li Gong,Daoming Chen,Ni Yan,Drama,coming home,Drama Li GongDaoming Chen Ni Yan coming home Yimou Zhang
